epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3354.35,0.83504,1.1751,1.18032,0.75025,0.57954,0.65236,0.49172,1.0026,1.33431,1.21364,3.0753e-05,3.0753e-05,3.0753e-05
80,3398.76,0.84569,1.17317,1.18437,0.72418,0.57163,0.65104,0.48734,1.03113,1.35894,1.23074,2.94165e-05,2.94165e-05,2.94165e-05
81,3441.05,0.82338,1.14412,1.16449,0.73273,0.55353,0.6521,0.49114,1.03457,1.35275,1.23543,2.808e-05,2.808e-05,2.808e-05
82,3483.72,0.82494,1.13461,1.17127,0.69744,0.55656,0.66017,0.49549,1.02395,1.33447,1.22571,2.67435e-05,2.67435e-05,2.67435e-05
83,3527.02,0.81563,1.16255,1.17319,0.74788,0.55983,0.65537,0.49266,0.99704,1.32886,1.20555,2.5407e-05,2.5407e-05,2.5407e-05
84,3569.64,0.83293,1.14611,1.17305,0.71216,0.5616,0.64618,0.48806,1.00385,1.333,1.21283,2.40705e-05,2.40705e-05,2.40705e-05
85,3611.61,0.82027,1.12735,1.17325,0.74691,0.55111,0.65347,0.49499,1.00936,1.34381,1.21699,2.2734e-05,2.2734e-05,2.2734e-05
86,3654.98,0.83184,1.13402,1.17284,0.71167,0.5639,0.64984,0.48989,1.02087,1.34676,1.22925,2.13975e-05,2.13975e-05,2.13975e-05
87,3697.07,0.8303,1.1343,1.17463,0.75609,0.54149,0.66404,0.5011,1.00235,1.31941,1.21432,2.0061e-05,2.0061e-05,2.0061e-05
88,3738.69,0.82605,1.12461,1.16747,0.68821,0.57451,0.64523,0.4892,0.99221,1.32438,1.20904,1.87245e-05,1.87245e-05,1.87245e-05
89,3781.46,0.81621,1.11482,1.15222,0.72071,0.56604,0.66121,0.49619,1.01212,1.31964,1.22229,1.7388e-05,1.7388e-05,1.7388e-05
90,3823.23,0.8176,1.12522,1.16575,0.70557,0.56662,0.65582,0.48996,1.02492,1.32728,1.22919,1.60515e-05,1.60515e-05,1.60515e-05
91,3857.98,0.65354,0.97013,1.05792,0.64791,0.58763,0.62452,0.48289,0.97551,1.36564,1.20453,1.4715e-05,1.4715e-05,1.4715e-05
92,3889.31,0.63837,0.89622,1.04981,0.66543,0.57073,0.64275,0.49557,0.96637,1.35479,1.20064,1.33785e-05,1.33785e-05,1.33785e-05
93,3921.48,0.63968,0.8863,1.05553,0.69523,0.57778,0.64691,0.50086,0.96757,1.35273,1.19972,1.2042e-05,1.2042e-05,1.2042e-05
94,3953.05,0.63013,0.8669,1.04225,0.67375,0.58882,0.64772,0.49589,0.98112,1.34148,1.21212,1.07055e-05,1.07055e-05,1.07055e-05
95,3985.14,0.62675,0.86345,1.03986,0.70959,0.56303,0.64432,0.49171,0.98292,1.33165,1.20819,9.369e-06,9.369e-06,9.369e-06
96,4016.44,0.61537,0.84359,1.04101,0.69584,0.57612,0.64421,0.49551,0.97147,1.32649,1.20019,8.0325e-06,8.0325e-06,8.0325e-06
97,4048.64,0.62121,0.84367,1.03573,0.70151,0.57449,0.64615,0.49291,0.9922,1.33056,1.21562,6.696e-06,6.696e-06,6.696e-06
98,4080.41,0.61813,0.84427,1.04266,0.69783,0.57609,0.64552,0.49345,0.98606,1.32662,1.21186,5.3595e-06,5.3595e-06,5.3595e-06
99,4112.6,0.60895,0.82865,1.03225,0.70116,0.57634,0.64533,0.4934,0.976,1.31424,1.20596,4.023e-06,4.023e-06,4.023e-06
100,4143.92,0.62042,0.83825,1.0439,0.72675,0.57086,0.64625,0.49374,0.97573,1.30908,1.20724,2.6865e-06,2.6865e-06,2.6865e-06
